"GEO_ID","NAME","B19013_001E","B19013_001M"
"id","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)"
"1400000US24005408602","Census Tract 4086.02, Baltimore County, Maryland","98462","9050"
"1400000US24005408702","Census Tract 4087.02, Baltimore County, Maryland","98333","18635"
"1400000US24005408703","Census Tract 4087.03, Baltimore County, Maryland","94922","15076"
"1400000US24005408704","Census Tract 4087.04, Baltimore County, Maryland","111607","24866"
"1400000US24005408800","Census Tract 4088, Baltimore County, Maryland","89556","11700"
"1400000US24005408900","Census Tract 4089, Baltimore County, Maryland","102772","9856"
"1400000US24005410100","Census Tract 4101, Baltimore County, Maryland","116735","23034"
"1400000US24005410200","Census Tract 4102, Baltimore County, Maryland","144514","23233"
"1400000US24005411101","Census Tract 4111.01, Baltimore County, Maryland","97813","29392"
"1400000US24005411102","Census Tract 4111.02, Baltimore County, Maryland","103311","9838"
"1400000US24005411201","Census Tract 4112.01, Baltimore County, Maryland","118676","10680"
"1400000US24005411202","Census Tract 4112.02, Baltimore County, Maryland","123229","22258"
"1400000US24005411302","Census Tract 4113.02, Baltimore County, Maryland","98750","14122"
"1400000US24005411303","Census Tract 4113.03, Baltimore County, Maryland","70173","11099"
"1400000US24005411306","Census Tract 4113.06, Baltimore County, Maryland","86179","14466"
"1400000US24005411307","Census Tract 4113.07, Baltimore County, Maryland","78565","7581"
"1400000US24005411308","Census Tract 4113.08, Baltimore County, Maryland","89917","11993"
"1400000US24005411309","Census Tract 4113.09, Baltimore County, Maryland","107718","10000"
"1400000US24005411404","Census Tract 4114.04, Baltimore County, Maryland","87250","17863"
"1400000US24005411406","Census Tract 4114.06, Baltimore County, Maryland","85065","8544"
"1400000US24005411407","Census Tract 4114.07, Baltimore County, Maryland","57608","11617"
"1400000US24005411408","Census Tract 4114.08, Baltimore County, Maryland","65135","10552"
"1400000US24005411409","Census Tract 4114.09, Baltimore County, Maryland","101821","8664"
"1400000US24005411410","Census Tract 4114.10, Baltimore County, Maryland","91750","11049"
"1400000US24005420100","Census Tract 4201, Baltimore County, Maryland","53781","6225"
"1400000US24005420200","Census Tract 4202, Baltimore County, Maryland","57143","7392"
"1400000US24005420301","Census Tract 4203.01, Baltimore County, Maryland","52314","6870"
"1400000US24005420302","Census Tract 4203.02, Baltimore County, Maryland","57389","13205"
"1400000US24005420303","Census Tract 4203.03, Baltimore County, Maryland","61250","12092"
"1400000US24005420401","Census Tract 4204.01, Baltimore County, Maryland","54581","2868"
"1400000US24005420402","Census Tract 4204.02, Baltimore County, Maryland","58679","4762"
"1400000US24005420500","Census Tract 4205, Baltimore County, Maryland","51616","7825"
"1400000US24005420600","Census Tract 4206, Baltimore County, Maryland","52883","5857"
"1400000US24005420701","Census Tract 4207.01, Baltimore County, Maryland","47934","9376"
"1400000US24005420702","Census Tract 4207.02, Baltimore County, Maryland","36574","6976"
"1400000US24005420800","Census Tract 4208, Baltimore County, Maryland","63017","10157"
"1400000US24005420900","Census Tract 4209, Baltimore County, Maryland","37688","5697"
"1400000US24005421000","Census Tract 4210, Baltimore County, Maryland","26402","5553"
"1400000US24005421101","Census Tract 4211.01, Baltimore County, Maryland","45373","10839"
"1400000US24005421102","Census Tract 4211.02, Baltimore County, Maryland","53772","5333"
"1400000US24005421200","Census Tract 4212, Baltimore County, Maryland","51563","6780"
"1400000US24005421300","Census Tract 4213, Baltimore County, Maryland","40391","9453"
"1400000US24005430101","Census Tract 4301.01, Baltimore County, Maryland","45952","2671"
"1400000US24005430104","Census Tract 4301.04, Baltimore County, Maryland","79833","10713"
"1400000US24005430200","Census Tract 4302, Baltimore County, Maryland","40887","14434"
"1400000US24005430300","Census Tract 4303, Baltimore County, Maryland","35022","5371"
"1400000US24005430400","Census Tract 4304, Baltimore County, Maryland","76757","11649"
"1400000US24005430600","Census Tract 4306, Baltimore County, Maryland","95385","12971"
"1400000US24005430700","Census Tract 4307, Baltimore County, Maryland","90226","8233"
"1400000US24005430800","Census Tract 4308, Baltimore County, Maryland","73981","11024"
"1400000US24005430900","Census Tract 4309, Baltimore County, Maryland","50913","5596"
"1400000US24005440100","Census Tract 4401, Baltimore County, Maryland","68977","11892"
"1400000US24005440200","Census Tract 4402, Baltimore County, Maryland","64041","4195"
"1400000US24005440300","Census Tract 4403, Baltimore County, Maryland","60040","8883"
"1400000US24005440400","Census Tract 4404, Baltimore County, Maryland","74410","21776"
"1400000US24005440500","Census Tract 4405, Baltimore County, Maryland","71957","8371"
"1400000US24005440600","Census Tract 4406, Baltimore County, Maryland","108929","9392"
"1400000US24005440701","Census Tract 4407.01, Baltimore County, Maryland","59610","9915"
"1400000US24005440702","Census Tract 4407.02, Baltimore County, Maryland","62250","7420"
"1400000US24005440800","Census Tract 4408, Baltimore County, Maryland","66875","18682"
"1400000US24005440900","Census Tract 4409, Baltimore County, Maryland","72428","5564"
"1400000US24005441000","Census Tract 4410, Baltimore County, Maryland","62895","17065"
"1400000US24005441101","Census Tract 4411.01, Baltimore County, Maryland","63684","11442"
"1400000US24005441102","Census Tract 4411.02, Baltimore County, Maryland","57125","9498"
"1400000US24005450100","Census Tract 4501, Baltimore County, Maryland","54313","13163"
"1400000US24005450200","Census Tract 4502, Baltimore County, Maryland","62389","14712"
"1400000US24005450300","Census Tract 4503, Baltimore County, Maryland","48623","4089"
"1400000US24005450400","Census Tract 4504, Baltimore County, Maryland","70714","15587"
"1400000US24005450501","Census Tract 4505.01, Baltimore County, Maryland","48929","11073"
"1400000US24005450503","Census Tract 4505.03, Baltimore County, Maryland","54291","11108"
"1400000US24005450504","Census Tract 4505.04, Baltimore County, Maryland","38271","3319"
"1400000US24005450800","Census Tract 4508, Baltimore County, Maryland","42179","10452"
"1400000US24005450900","Census Tract 4509, Baltimore County, Maryland","76607","7077"
"1400000US24005451000","Census Tract 4510, Baltimore County, Maryland","79519","12760"
"1400000US24005451100","Census Tract 4511, Baltimore County, Maryland","90417","21835"
"1400000US24005451200","Census Tract 4512, Baltimore County, Maryland","74539","14029"
"1400000US24005451300","Census Tract 4513, Baltimore County, Maryland","48563","5451"
"1400000US24005451401","Census Tract 4514.01, Baltimore County, Maryland","73889","12733"
"1400000US24005451402","Census Tract 4514.02, Baltimore County, Maryland","57585","14198"
"1400000US24005451500","Census Tract 4515, Baltimore County, Maryland","62244","8560"
"1400000US24005451600","Census Tract 4516, Baltimore County, Maryland","55324","5186"
"1400000US24005451701","Census Tract 4517.01, Baltimore County, Maryland","85000","9735"
"1400000US24005451702","Census Tract 4517.02, Baltimore County, Maryland","83250","15311"
"1400000US24005451801","Census Tract 4518.01, Baltimore County, Maryland","65290","10563"
"1400000US24005451802","Census Tract 4518.02, Baltimore County, Maryland","68405","12001"
"1400000US24005451803","Census Tract 4518.03, Baltimore County, Maryland","74574","6436"
"1400000US24005451900","Census Tract 4519, Baltimore County, Maryland","78500","13282"
"1400000US24005452000","Census Tract 4520, Baltimore County, Maryland","70625","18624"
"1400000US24005452100","Census Tract 4521, Baltimore County, Maryland","76384","12484"
"1400000US24005452300","Census Tract 4523, Baltimore County, Maryland","49167","13074"
"1400000US24005452400","Census Tract 4524, Baltimore County, Maryland","67875","12285"
"1400000US24005452500","Census Tract 4525, Baltimore County, Maryland","52371","3027"
"1400000US24005490100","Census Tract 4901, Baltimore County, Maryland","142950","17113"
"1400000US24005490200","Census Tract 4902, Baltimore County, Maryland","111292","3052"
"1400000US24005490301","Census Tract 4903.01, Baltimore County, Maryland","56609","6043"
"1400000US24005490302","Census Tract 4903.02, Baltimore County, Maryland","81307","9962"
"1400000US24005490400","Census Tract 4904, Baltimore County, Maryland","148182","30774"
"1400000US24005490500","Census Tract 4905, Baltimore County, Maryland","156607","19521"
"1400000US24005490601","Census Tract 4906.01, Baltimore County, Maryland","103667","9923"
"1400000US24005490602","Census Tract 4906.02, Baltimore County, Maryland","83233","12027"
"1400000US24005490603","Census Tract 4906.03, Baltimore County, Maryland","106087","7662"
"1400000US24005490605","Census Tract 4906.05, Baltimore County, Maryland","11190","3528"
"1400000US24005490701","Census Tract 4907.01, Baltimore County, Maryland","102500","23133"
