GEO_ID,NAME,total,total.under25K,total.under25K.insured,total.under25K.insured.private,total.under25K.insured.public,total.under25K.uninsured,total.25Kto50K,total.25Kto50K.insured,total.25Kto50K.insured.private,total.25Kto50K.insured.public,total.25Kto50K.uninsured,total.50Kto75K,total.50Kto75K.insured,total.50Kto75K.insured.private,total.50Kto75K.insured.public,total.50Kto75K.uninsured,total.75Kto100K,total.75Kto100K.insured,total.75Kto100K.insured.private,total.75Kto100K.insured.public,total.75Kto100K.uninsured,total.100Kplus,total.100Kplus.insured,total.100Kplus.insured.private,total.100Kplus.insured.public,total.100Kplus.uninsured
1400000US24033800515,"Census Tract 8005.15, Prince George's County, Maryland",4172,260,238,206,84,22,394,369,274,247,25,632,512,471,59,120,719,616,613,86,103,2167,2060,1960,295,107
1400000US24033800516,"Census Tract 8005.16, Prince George's County, Maryland",4000,182,172,146,111,10,393,348,284,200,45,604,596,431,203,8,615,564,564,21,51,2206,2145,2078,214,61
1400000US24033800517,"Census Tract 8005.17, Prince George's County, Maryland",6024,107,32,32,21,75,111,108,14,99,3,325,307,288,95,18,950,926,623,450,24,4531,4424,4078,822,107
1400000US24033800518,"Census Tract 8005.18, Prince George's County, Maryland",3689,30,18,8,10,12,210,190,103,108,20,740,651,515,203,89,155,149,138,31,6,2554,2535,2367,403,19
1400000US24033800519,"Census Tract 8005.19, Prince George's County, Maryland",3987,176,167,109,160,9,276,261,228,121,15,491,452,416,73,39,443,367,329,115,76,2601,2451,2257,374,150
1400000US24033800520,"Census Tract 8005.20, Prince George's County, Maryland",1913,189,177,98,142,12,179,140,112,69,39,235,235,157,135,0,410,410,383,41,0,900,825,773,93,75
1400000US24033800601,"Census Tract 8006.01, Prince George's County, Maryland",1891,146,146,75,125,0,306,277,182,146,29,361,334,251,127,27,416,416,351,127,0,662,556,517,145,106
1400000US24033800604,"Census Tract 8006.04, Prince George's County, Maryland",1936,224,224,148,117,0,140,64,55,23,76,373,343,294,81,30,298,293,293,52,5,901,881,856,111,20
1400000US24033800605,"Census Tract 8006.05, Prince George's County, Maryland",4166,60,60,21,43,0,172,163,102,96,9,774,772,463,327,2,508,482,472,63,26,2652,2553,2419,285,99
1400000US24033800606,"Census Tract 8006.06, Prince George's County, Maryland",5433,230,230,106,170,0,523,395,220,225,128,1087,1033,685,399,54,1113,1054,971,131,59,2480,2480,2409,275,0
1400000US24033800607,"Census Tract 8006.07, Prince George's County, Maryland",5911,186,186,130,126,0,175,167,137,59,8,392,366,317,147,26,629,512,437,138,117,4529,4257,3858,844,272
1400000US24033800608,"Census Tract 8006.08, Prince George's County, Maryland",5052,70,54,32,22,16,182,182,98,117,0,166,158,158,9,8,449,442,363,186,7,4185,4039,3953,255,146
1400000US24033800701,"Census Tract 8007.01, Prince George's County, Maryland",6014,201,201,183,138,0,385,353,238,196,32,627,524,436,193,103,418,395,395,53,23,4383,4147,4016,546,236
1400000US24033800704,"Census Tract 8007.04, Prince George's County, Maryland",5050,390,356,332,90,34,662,627,326,360,35,804,795,716,138,9,746,683,609,188,63,2448,2414,2380,276,34
