GEO_ID,NAME,MHHI
1400000US24005403500,"Census Tract 4035, Baltimore County, Maryland",97375
1400000US24005403601,"Census Tract 4036.01, Baltimore County, Maryland",83622
1400000US24005403602,"Census Tract 4036.02, Baltimore County, Maryland",89477
1400000US24005403701,"Census Tract 4037.01, Baltimore County, Maryland",77417
1400000US24005403702,"Census Tract 4037.02, Baltimore County, Maryland",77446
1400000US24005403801,"Census Tract 4038.01, Baltimore County, Maryland",198158
1400000US24005403802,"Census Tract 4038.02, Baltimore County, Maryland",158908
1400000US24005403803,"Census Tract 4038.03, Baltimore County, Maryland",103846
1400000US24005404101,"Census Tract 4041.01, Baltimore County, Maryland",90271
1400000US24005404102,"Census Tract 4041.02, Baltimore County, Maryland",65676
1400000US24005404201,"Census Tract 4042.01, Baltimore County, Maryland",76985
1400000US24005404202,"Census Tract 4042.02, Baltimore County, Maryland",54093
1400000US24005404402,"Census Tract 4044.02, Baltimore County, Maryland",114583
1400000US24005404403,"Census Tract 4044.03, Baltimore County, Maryland",48194
1400000US24005404404,"Census Tract 4044.04, Baltimore County, Maryland",81613
1400000US24005404501,"Census Tract 4045.01, Baltimore County, Maryland",72741
1400000US24005404502,"Census Tract 4045.02, Baltimore County, Maryland",51452
1400000US24005404600,"Census Tract 4046, Baltimore County, Maryland",101197
1400000US24005404800,"Census Tract 4048, Baltimore County, Maryland",120938
1400000US24005404900,"Census Tract 4049, Baltimore County, Maryland",134777
1400000US24005405000,"Census Tract 4050, Baltimore County, Maryland",101964
1400000US24005406000,"Census Tract 4060, Baltimore County, Maryland",105972
1400000US24005407001,"Census Tract 4070.01, Baltimore County, Maryland",97153
1400000US24005407002,"Census Tract 4070.02, Baltimore County, Maryland",102009
1400000US24005408100,"Census Tract 4081, Baltimore County, Maryland",108448
1400000US24005408200,"Census Tract 4082, Baltimore County, Maryland",150750
1400000US24005408302,"Census Tract 4083.02, Baltimore County, Maryland",126667
1400000US24005408303,"Census Tract 4083.03, Baltimore County, Maryland",167069
