GEOID,insured,uninsured,total
1400000US24013503000,5234,199,5433
1400000US24013504100,4878,243,5121
1400000US24013504201,5995,200,6195
1400000US24013504202,6213,266,6479
1400000US24013505101,4069,38,4107
1400000US24013505102,5517,134,5651
1400000US24013505203,2990,132,3122
1400000US24013505205,3475,60,3535
1400000US24013505206,3299,90,3389
1400000US24013505207,3791,94,3885
1400000US24013505208,4710,112,4822
1400000US24013506101,3938,108,4046
1400000US24013506102,3949,101,4050
1400000US24013506200,4788,102,4890
1400000US24013507500,4520,119,4639
1400000US24013507601,4852,280,5132
1400000US24013507602,3811,227,4038
1400000US24013507702,3592,81,3673
1400000US24013507703,2907,90,2997
1400000US24013507704,5620,377,5997
1400000US24013507801,5433,204,5637
1400000US24013507802,4469,96,4565
1400000US24013508101,4535,178,4713
1400000US24013508102,2856,47,2903
1400000US24013508200,6689,265,6954
1400000US24013509001,3999,158,4157
1400000US24013509002,2514,211,2725
1400000US24013510000,1283,128,1411
1400000US24013511000,3642,70,3712
1400000US24013512000,1369,73,1442
1400000US24013513001,4466,238,4704
1400000US24013513002,5272,185,5457
1400000US24013514100,3584,63,3647
1400000US24013514201,4812,234,5046
1400000US24013514202,3453,75,3528
1400000US24015030100,4488,236,4724
1400000US24015030200,4582,257,4839
1400000US24015030400,3935,831,4766
1400000US24015030501,3833,362,4195
1400000US24015030503,4700,437,5137
1400000US24015030505,3836,178,4014
1400000US24015030506,7437,506,7943
1400000US24015030601,3800,116,3916
1400000US24015030602,4832,166,4998
1400000US24015030700,4837,204,5041
1400000US24015030903,5482,350,5832
1400000US24015030904,7038,73,7111
1400000US24015030905,2844,127,2971
1400000US24015030906,9647,491,10138
1400000US24015031201,5612,311,5923
1400000US24015031202,5157,211,5368
1400000US24015031301,3325,162,3487
1400000US24015031302,6691,269,6960
1400000US24015031400,3730,268,3998
1400000US24017850101,5507,331,5838
1400000US24017850102,2236,149,2385
1400000US24017850201,818,7,825
1400000US24017850202,4409,302,4711
1400000US24017850300,2006,117,2123
1400000US24017850400,3490,127,3617
1400000US24017850500,2709,89,2798
1400000US24017850600,4856,50,4906
1400000US24017850706,4960,184,5144
1400000US24017850708,5163,156,5319
1400000US24017850709,6483,271,6754
1400000US24017850710,5390,142,5532
1400000US24017850711,4881,193,5074
1400000US24017850712,5684,276,5960
1400000US24017850713,7522,199,7721
1400000US24017850801,4716,109,4825
1400000US24017850802,4164,481,4645
1400000US24017850901,5155,206,5361
1400000US24017850902,5629,177,5806
1400000US24017850904,8371,151,8522
1400000US24017850905,4078,226,4304
1400000US24017850906,4302,144,4446
1400000US24017851001,2849,120,2969
1400000US24017851002,8292,516,8808
1400000US24017851100,2724,147,2871
1400000US24017851200,4771,214,4985
1400000US24017851301,4466,266,4732
1400000US24017851302,4088,97,4185
1400000US24017851400,8350,396,8746
1400000US24017851500,8494,375,8869
1400000US24017990000,0,0,0
1400000US24019970100,2459,270,2729
1400000US24019970200,5341,295,5636
1400000US24019970300,3966,341,4307
1400000US24019970400,3201,217,3418
1400000US24019970500,3661,148,3809
1400000US24019970600,4288,316,4604
1400000US24019970702,3758,37,3795
1400000US24019970804,2033,87,2120
1400000US24019970900,1472,81,1553
1400000US24019990000,0,0,0
1400000US24021740200,4416,235,4651
1400000US24021750100,1363,112,1475
1400000US24021750200,1505,269,1774
1400000US24021750300,1415,221,1636
1400000US24021750503,6608,914,7522
1400000US24021750504,4653,583,5236
1400000US24021750505,6627,887,7514
1400000US24021750506,4050,406,4456
1400000US24021750600,2524,55,2579
1400000US24021750701,5150,353,5503
1400000US24021750702,3376,508,3884
1400000US24021750801,2769,157,2926
1400000US24021750802,4723,108,4831
1400000US24021750803,5695,417,6112
1400000US24021751001,956,49,1005
1400000US24021751002,5168,224,5392
1400000US24021751003,5096,654,5750
1400000US24021751004,3675,312,3987
1400000US24021751201,4533,79,4612
1400000US24021751202,6099,210,6309
1400000US24021751203,1828,77,1905
1400000US24021751301,3388,120,3508
1400000US24021751302,3246,251,3497
1400000US24021751600,2808,160,2968
1400000US24021751701,2308,75,2383
1400000US24021751702,3720,249,3969
1400000US24021751801,4701,87,4788
1400000US24021751802,3396,150,3546
1400000US24021751901,4479,147,4626
1400000US24021751902,5998,106,6104
1400000US24021751903,5752,157,5909
1400000US24021751904,3283,61,3344
1400000US24021752001,4961,111,5072
1400000US24021752101,3143,45,3188
1400000US24021752102,4074,159,4233
1400000US24021752201,2096,84,2180
1400000US24021752202,4003,115,4118
1400000US24021752204,7401,233,7634
1400000US24021752301,4341,247,4588
1400000US24021752302,3873,193,4066
1400000US24021752303,3401,137,3538
1400000US24021752501,4873,97,4970
1400000US24021752502,2439,125,2564
1400000US24021752601,4155,69,4224
1400000US24021752602,2616,134,2750
1400000US24021752603,3713,79,3792
1400000US24021752801,1971,68,2039
1400000US24021752802,3532,157,3689
1400000US24021752900,2940,153,3093
1400000US24021753001,4441,411,4852
1400000US24021753002,2843,88,2931
1400000US24021765100,3289,292,3581
1400000US24021766800,5624,243,5867
1400000US24021767500,2626,248,2874
1400000US24021767600,2841,192,3033
1400000US24021770700,3425,140,3565
1400000US24021772200,1164,158,1322
1400000US24021773500,4107,315,4422
1400000US24021775302,4074,156,4230
1400000US24021775400,3668,61,3729
1400000US24021775600,3803,118,3921
1400000US24023000100,3595,315,3910
1400000US24023000200,3655,365,4020
1400000US24023000300,2465,87,2552
1400000US24023000400,2714,268,2982
1400000US24023000500,3728,290,4018
1400000US24023000600,5449,489,5938
1400000US24023000700,5246,371,5617
1400000US24025301102,3583,98,3681
1400000US24025301105,3665,91,3756
1400000US24025301106,4006,52,4058
1400000US24025301107,2994,202,3196
1400000US24025301108,3116,177,3293
1400000US24025301201,1883,102,1985
1400000US24025301202,6772,358,7130
1400000US24025301204,3934,66,4000
1400000US24025301205,3884,334,4218
1400000US24025301301,4377,194,4571
1400000US24025301302,6235,239,6474
1400000US24025301401,7062,263,7325
1400000US24025301402,2583,110,2693
1400000US24025301601,6357,529,6886
1400000US24025301602,7601,599,8200
1400000US24025301702,8326,493,8819
1400000US24025301703,4678,175,4853
1400000US24025301704,3076,90,3166
1400000US24025302100,2141,32,2173
1400000US24025302200,3006,63,3069
1400000US24025302400,3640,238,3878
1400000US24025302801,3410,123,3533
1400000US24025302802,4677,638,5315
1400000US24025302901,2501,141,2642
1400000US24025302902,3828,168,3996
1400000US24025303101,5713,158,5871
1400000US24025303102,2745,48,2793
1400000US24025303201,5567,124,5691
1400000US24025303203,3374,76,3450
1400000US24025303204,4393,62,4455
1400000US24025303205,1569,63,1632
1400000US24025303206,3406,58,3464
1400000US24025303300,6015,199,6214
1400000US24025303400,4439,95,4534
1400000US24025303501,6225,197,6422
1400000US24025303502,3442,98,3540
1400000US24025303602,3658,263,3921
1400000US24025303603,6995,32,7027
