GEOID,MHHI12,MHHI17
1400000US24027606705,95694,112188
1400000US24027606706,128343,127769
1400000US24027606707,96439,92097
1400000US24027606803,95089,91136
1400000US24027606804,114271,118315
1400000US24027606805,175962,148207
1400000US24027606806,126930,137228
1400000US24027606901,78548,86823
1400000US24027606904,85451,98542
1400000US24027606905,102821,104731
1400000US24027606906,87214,89795
1400000US24027606907,72585,73213
1400000US24029950100,60774,61494
1400000US24029950200,63491,65725
1400000US24029950300,31926,51557
1400000US24029950400,69142,67292
1400000US24029950500,46781,47917
1400000US24029990000,,
1400000US24031700101,162813,162171
1400000US24031700103,153313,151435
1400000US24031700104,116667,114762
1400000US24031700105,98871,111719
1400000US24031700204,81827,94583
1400000US24031700205,143790,137121
1400000US24031700206,121995,133953
1400000US24031700207,81978,101946
1400000US24031700208,103942,136625
1400000US24031700304,111789,123906
1400000US24031700306,110737,112547
1400000US24031700308,100148,87867
1400000US24031700309,82446,74898
1400000US24031700310,75566,75393
1400000US24031700311,131583,131438
1400000US24031700312,132473,130329
1400000US24031700400,123098,110179
1400000US24031700500,101724,138427
1400000US24031700604,172627,189620
1400000US24031700606,158523,155250
1400000US24031700607,154461,176184
1400000US24031700608,219737,242438
1400000US24031700610,139199,155938
1400000US24031700611,141515,173393
1400000US24031700613,118779,131159
1400000US24031700614,75134,66344
1400000US24031700615,146898,171667
1400000US24031700616,145179,164265
1400000US24031700704,61250,88750
1400000US24031700706,66026,85091
1400000US24031700710,94191,90495
1400000US24031700711,96209,103567
1400000US24031700713,49293,55670
1400000US24031700715,100088,102772
1400000US24031700716,81828,94952
1400000US24031700717,66346,64911
1400000US24031700718,113816,109792
1400000US24031700719,66250,65045
1400000US24031700720,100019,98092
1400000US24031700721,62594,46310
1400000US24031700722,79309,74602
1400000US24031700723,53829,55450
1400000US24031700724,35699,48901
1400000US24031700810,98510,96140
1400000US24031700811,82650,82167
1400000US24031700812,80850,91671
1400000US24031700813,80000,74091
1400000US24031700815,81080,99005
1400000US24031700816,73225,83940
1400000US24031700817,84018,89970
1400000US24031700818,68767,65457
1400000US24031700819,87159,88125
1400000US24031700820,69709,73733
1400000US24031700822,62813,71818
1400000US24031700823,107083,120909
1400000US24031700824,141351,134917
1400000US24031700826,130410,120550
1400000US24031700828,153833,137396
1400000US24031700829,121857,125469
1400000US24031700830,65697,68929
1400000US24031700832,62071,71976
1400000US24031700833,72880,88137
1400000US24031700834,83387,79559
1400000US24031700835,141266,131528
1400000US24031700901,76250,81591
1400000US24031700902,81964,74708
1400000US24003740201,60155,80227
1400000US24003740203,133659,128184
1400000US24003740303,82942,98958
1400000US24003740304,88343,95258
1400000US24003740305,92091,92478
1400000US24003740400,,
1400000US24003740500,108828,110486
1400000US24003740601,60980,76343
1400000US24003740602,55833,64981
1400000US24003740603,85227,67863
1400000US24003740701,89397,92879
1400000US24003740702,107198,108031
1400000US24003740800,104688,104020
1400000US24003740900,89333,90377
1400000US24003741000,115927,142361
1400000US24003750101,52019,55492
1400000US24003750102,55130,54097
1400000US24003750201,61528,46806
1400000US24003750202,63859,75135
1400000US24003750203,58403,67692
1400000US24003750300,66097,80000
1400000US24003750400,90089,93558
1400000US24003750801,77341,94904
1400000US24003750803,58948,57886
1400000US24003750804,73942,63922
1400000US24003750900,59815,62768
1400000US24003751000,59435,68059
1400000US24003751102,64201,59896
1400000US24003751103,74500,60477
1400000US24003751200,66964,97284
1400000US24003751400,106458,103682
1400000US24003751500,66806,71451
1400000US24003751600,73371,81295
1400000US24003751700,157946,172604
1400000US24003980000,,
1400000US24003990000,,
1400000US24005400100,52188,49833
1400000US24005400200,67153,76389
1400000US24005400400,97904,114386
1400000US24005400500,120333,157708
1400000US24005400600,63787,85583
1400000US24005400701,58328,69661
1400000US24005400702,81250,90938
1400000US24005400800,62860,88864
1400000US24005400900,50110,65481
1400000US24005401000,62230,98636
1400000US24005401101,57791,65522
1400000US24005401102,43362,53469
1400000US24005401200,64271,70156
1400000US24005401301,60000,62963
1400000US24005401302,43986,46731
1400000US24005401400,104276,114875
1400000US24005401503,84669,96039
1400000US24005401504,80927,88697
1400000US24005401505,71982,73375
1400000US24005401506,70227,75604
1400000US24005401507,55666,54545
1400000US24005402201,102685,84135
1400000US24005402202,112813,128281
1400000US24005402302,70588,85714
1400000US24005402303,64433,69772
1400000US24005402304,57317,70202
1400000US24005402305,43342,57888
1400000US24005402306,54063,48431
1400000US24005402307,52808,63743
1400000US24005402403,47266,65461
1400000US24005402404,37813,51552
1400000US24005402405,50583,60335
1400000US24005402406,54344,65434
1400000US24005402407,70676,51964
1400000US24005402503,40750,47679
1400000US24005402504,93205,97351
1400000US24005402505,48588,62574
1400000US24005402506,70341,83107
1400000US24005402509,85380,87650
1400000US24005402602,74000,72750
1400000US24005402603,86756,107398
1400000US24005402604,80342,82167
1400000US24005403100,59148,69301
1400000US24005403201,65152,72426
1400000US24005403202,66971,67697
1400000US24005403300,70029,74013
1400000US24005403401,53173,65403
1400000US24005403402,36490,48445
1400000US24005403500,78345,97375
1400000US24005403601,83089,83622
1400000US24005403602,81183,89477
1400000US24005403701,83434,77417
1400000US24005403702,78561,77446
1400000US24005403801,156709,198158
1400000US24005403802,182188,158908
1400000US24005403803,117682,103846
1400000US24005404101,95308,90271
1400000US24005404102,66542,65676
1400000US24005404201,65439,76985
1400000US24005404202,54197,54093
1400000US24005404402,114875,114583
1400000US24005404403,55479,48194
1400000US24005404404,62679,81613
1400000US24005404501,62391,72741
1400000US24005404502,53523,51452
1400000US24005404600,74948,101197
1400000US24005404800,108750,120938
1400000US24005404900,113241,134777
1400000US24005405000,84031,101964
1400000US24005406000,111989,105972
1400000US24005407001,92344,97153
1400000US24005407002,91636,102009
1400000US24005408100,97772,108448
1400000US24005408200,138958,150750
1400000US24005408302,106822,126667
1400000US24005408303,149087,167069
1400000US24005408304,81134,89417
1400000US24005408400,79643,63971
1400000US24005408502,90403,91335
1400000US24005408503,54729,59853
1400000US24005408505,89938,84269
1400000US24005408506,48933,46997
1400000US24005408507,51767,58682
1400000US24005408601,80926,102902
1400000US24005408602,88533,98462
1400000US24005408702,107050,98333
1400000US24005408703,78482,94922
1400000US24005408704,132743,111607
1400000US24005408800,70431,89556
1400000US24005408900,85221,102772
1400000US24005410100,149459,116735
1400000US24005410200,117986,144514
1400000US24005411101,91083,97813
1400000US24005411102,88523,103311
1400000US24005411201,97250,118676
1400000US24005411202,90313,123229
1400000US24005411302,105833,98750
1400000US24005411303,73793,70173
1400000US24005411306,77792,86179
1400000US24005411307,71403,78565
1400000US24005411308,82171,89917
1400000US24005411309,97961,107718
1400000US24005411404,90417,87250
1400000US24005411406,90076,85065
1400000US24005411407,50019,57608
1400000US24005411408,53213,65135
1400000US24005411409,92163,101821
1400000US24005411410,74583,91750
1400000US24005420100,48456,53781
1400000US24005420200,42526,57143
1400000US24005420301,46786,52314
1400000US24005420302,59737,57389
1400000US24005420303,67163,61250
1400000US24005420401,58359,54581
1400000US24005420402,54668,58679
1400000US24005420500,54235,51616
1400000US24005420600,46801,52883
1400000US24005420701,39214,47934
1400000US24005420702,56532,36574
1400000US24005420800,54625,63017
1400000US24005420900,45199,37688
1400000US24005421000,24280,26402
1400000US24005421101,41691,45373
1400000US24005421102,48750,53772
1400000US24005421200,44851,51563
1400000US24005421300,32697,40391
1400000US24005430101,42979,45952
1400000US24005430104,55929,79833
1400000US24005430200,49201,40887
1400000US24005430300,44583,35022
1400000US24005430400,65203,76757
1400000US24005430600,71833,95385
1400000US24005430700,76693,90226
1400000US24005430800,64583,73981
1400000US24005430900,49297,50913
1400000US24005440100,76046,68977
1400000US24005440200,57991,64041
1400000US24005440300,56597,60040
1400000US24005440400,63640,74410
1400000US24005440500,60980,71957
1400000US24005440600,108438,108929
1400000US24005440701,49018,59610
1400000US24005440702,75339,62250
1400000US24005440800,57712,66875
1400000US24005440900,42098,72428
1400000US24005441000,52802,62895
1400000US24005441101,61429,63684
1400000US24005441102,70134,57125
1400000US24005450100,50575,54313
1400000US24005450200,48804,62389
1400000US24005450300,58169,48623
1400000US24005450400,63000,70714
1400000US24005450501,39375,48929
1400000US24005450503,45966,54291
1400000US24005450504,42839,38271
1400000US24005450800,41964,42179
1400000US24005450900,77394,76607
1400000US24005451000,75417,79519
1400000US24005451100,82386,90417
1400000US24005451200,66583,74539
1400000US24005451300,47806,48563
1400000US24005451401,69091,73889
1400000US24005451402,47173,57585
1400000US24005451500,59408,62244
1400000US24005451600,59038,55324
1400000US24005451701,62100,85000
1400000US24005451702,72875,83250
1400000US24005451801,69332,65290
1400000US24005451802,55304,68405
1400000US24005451803,63993,74574
1400000US24005451900,56786,78500
1400000US24005452000,52734,70625
1400000US24005452100,54272,76384
1400000US24005452300,51172,49167
1400000US24005452400,63145,67875
1400000US24005452500,54750,52371
1400000US24005490100,118493,142950
1400000US24005490200,83750,111292
1400000US24005490301,44950,56609
1400000US24005490302,59844,81307
1400000US24005490400,157500,148182
1400000US24005490500,106075,156607
1400000US24005490601,104750,103667
1400000US24005490602,63832,83233
1400000US24005490603,102188,106087
1400000US24005490605,9150,11190
1400000US24005490701,94091,102500
1400000US24005490703,81576,92386
1400000US24005490800,67750,87727
1400000US24005490900,50925,50217
1400000US24005491000,128636,144000
1400000US24005491100,91071,88793
1400000US24005491201,67784,74250
1400000US24005491202,73867,72083
1400000US24005491300,58953,55440
1400000US24005491401,42315,43456
1400000US24005491402,48707,40347
1400000US24005491500,48578,64538
1400000US24005491600,53705,60017
1400000US24005491701,84954,73828
1400000US24005491900,58467,62025
1400000US24005492001,55577,55375
1400000US24005492002,66991,74819
1400000US24005492101,46972,61971
1400000US24005492102,66898,70441
1400000US24005492200,65399,58103
1400000US24005492300,64485,70066
1400000US24005492401,95988,88237
1400000US24005492402,77925,76063
1400000US24005492500,26413,
1400000US24005492600,68810,66494
1400000US24005980000,,
1400000US24005980100,,
1400000US24005980200,,
1400000US24009860101,105230,124706
1400000US24009860102,110833,84609
1400000US24009860200,106458,126859
1400000US24009860300,111438,128155
1400000US24009860401,85139,96875
1400000US24009860402,83966,92105
1400000US24009860501,129625,135369
1400000US24009860502,96761,100625
1400000US24009860600,126607,132682
1400000US24009860701,79615,88929
1400000US24009860702,62763,73550
1400000US24009860703,75246,95313
1400000US24009860801,110670,119831
1400000US24009860802,91625,86324
1400000US24009860900,72538,93454
1400000US24009861001,106513,130000
1400000US24009861003,86295,81068
1400000US24009861004,80971,85612
1400000US24009990100,,
1400000US24011955000,52411,45346
1400000US24011955100,60606,58281
1400000US24011955201,64234,51250
1400000US24011955202,69853,55795
1400000US24011955301,73098,70250
1400000US24011955302,63352,44589
1400000US24011955400,69375,56786
1400000US24011955500,59947,62891
1400000US24011955600,39176,36349
1400000US24013501001,75671,72222
1400000US24013501002,62852,75069
1400000US24013502000,86076,81723
1400000US24013503000,69176,82804
1400000US24013504100,95743,103958
1400000US24013504201,87768,105308
1400000US24013504202,103596,109280
1400000US24013505101,119500,127652
1400000US24013505102,115882,120821
1400000US24013505203,100076,102782
1400000US24013505205,112303,112774
1400000US24013505206,87225,91908
1400000US24013505207,89750,104577
1400000US24013505208,83636,106116
1400000US24013506101,80985,95075
1400000US24013506102,87857,84810
1400000US24013506200,77645,75238
1400000US24013507500,91971,90093
1400000US24013507601,83438,66605
1400000US24013507602,46214,61226
1400000US24013507702,59159,75761
1400000US24013507703,71250,87733
1400000US24013507704,78319,88306
1400000US24013507801,47287,53010
1400000US24013507802,79963,85208
1400000US24013508101,80000,84821
1400000US24013508102,74375,76083
1400000US24013508200,82141,79797
1400000US24013509001,110347,99360
1400000US24013509002,79375,124250
1400000US24013510000,54223,80139
1400000US24013511000,78689,83625
1400000US24013512000,67917,59188
1400000US24013513001,74938,109940
1400000US24013513002,120682,129519
1400000US24013514100,99185,122083
1400000US24013514201,102452,91993
1400000US24013514202,106029,107961
1400000US24015030100,52700,68547
1400000US24015030200,85352,78197
1400000US24015030400,40750,32396
1400000US24015030501,74321,76797
1400000US24015030503,49475,63952
1400000US24015030505,55431,56383
1400000US24015030506,62412,65972
1400000US24015030601,78375,88115
1400000US24015030602,79883,82500
1400000US24015030700,76941,84097
1400000US24015030903,52155,49489
1400000US24015030904,93156,95865
1400000US24015030905,58287,80684
1400000US24015030906,60714,64167
1400000US24015031201,69000,75893
1400000US24015031202,53818,64188
1400000US24015031301,69086,85568
1400000US24015031302,63701,74467
1400000US24015031400,78885,71302
1400000US24017850101,91808,89935
1400000US24017850102,65345,61422
1400000US24017850201,75577,61292
1400000US24017850202,65716,56875
1400000US24017850300,89712,72163
1400000US24017850400,74818,77207
1400000US24017850500,107750,107875
1400000US24017850600,106840,104145
1400000US24017850706,109153,124426
1400000US24017850708,123164,115179
1400000US24017850709,77143,86540
1400000US24017850710,122982,118438
1400000US24017850711,68311,77310
1400000US24017850712,121027,120673
1400000US24017850713,113011,137202
1400000US24017850801,107056,110000
1400000US24017850802,68685,73088
1400000US24017850901,44111,40493
1400000US24017850902,85797,89777
1400000US24017850904,106165,106563
1400000US24017850905,97731,90846
1400000US24017850906,49967,51536
1400000US24017851001,96115,82059
1400000US24017851002,96068,91875
1400000US24033800505,87353,111211
1400000US24033800507,95505,104792
1400000US24033800509,101202,104403
1400000US24033800511,99203,96635
1400000US24033800513,97173,111480
1400000US24033800514,170664,157000
1400000US24033800515,91364,95682
1400000US24033800516,85785,88141
1400000US24033800517,163468,141957
1400000US24033800518,160300,172061
1400000US24033800519,110484,104931
1400000US24033800520,99563,88375
1400000US24033800601,103897,76587
1400000US24033800604,104071,85990
1400000US24033800605,115000,104313
1400000US24033800606,80962,92442
1400000US24033800607,130484,129837
1400000US24033800608,150899,150375
1400000US24033800701,121145,130306
1400000US24033800704,92298,89188
1400000US24033800705,114816,130066
1400000US24033800706,121029,135568
1400000US24033800707,100909,86080
1400000US24033800800,104728,116919
1400000US24033800900,67153,65400
1400000US24033801003,84900,107917
1400000US24033801004,112191,129231
1400000US24033801005,127500,126285
1400000US24033801006,106681,107656
1400000US24033801104,54107,72862
1400000US24033801207,129712,110685
1400000US24033801208,116000,115313
1400000US24033801209,98442,102168
1400000US24033801210,82632,100417
1400000US24033801211,96544,99464
1400000US24033801212,93560,101029
1400000US24033801213,88209,109196
1400000US24033801214,83132,71940
1400000US24033801215,106658,104779
1400000US24033801216,85357,107979
1400000US24033801217,103250,124609
1400000US24033801302,113125,123822
1400000US24033801305,97045,122091
1400000US24033801307,128718,111786
1400000US24033801308,112773,114167
1400000US24033801309,127700,139702
1400000US24033801310,138670,114087
1400000US24033801311,97237,115492
1400000US24033801312,81518,89036
1400000US24033801313,115833,102159
1400000US24033801404,73633,80349
1400000US24033801405,64605,67359
1400000US24033801406,65297,80357
1400000US24033801407,85321,86813
1400000US24033801408,64053,61573
1400000US24033801409,55495,75568
1400000US24033801410,112340,102153
1400000US24033801411,91583,91673
1400000US24033801500,71645,77667
1400000US24033801600,51623,42338
1400000US24033801701,68663,65547
1400000US24033801702,54111,70797
1400000US24033801704,55413,50063
1400000US24033801706,64659,69821
1400000US24033801707,59844,52381
1400000US24033801708,63867,54468
1400000US24033801801,48036,45425
1400000US24033801802,51538,47457
1400000US24033801804,75950,80476
1400000US24033801805,50788,54871
1400000US24033801807,58408,65460
1400000US24033801808,55378,58839
1400000US24033801901,90750,83333
1400000US24033801904,59498,49643
1400000US24033801905,90598,93388
1400000US24033801906,63267,56806
1400000US24033801907,57475,54564
1400000US24033801908,57778,61080
1400000US24033802001,53809,63185
1400000US24033802002,71042,74125
1400000US24033802103,83008,85563
1400000US24033802104,42333,67414
1400000US24033802106,52700,47768
1400000US24033802107,54609,55779
1400000US24033802201,59643,70000
1400000US24033802203,51068,61648
1400000US24033802204,79086,84450
1400000US24033802301,83700,69152
1400000US24033802404,50094,43350
1400000US24033802405,52129,61865
1400000US24033802406,56964,54963
1400000US24033802407,50810,51712
1400000US24033802408,43314,51958
1400000US24033802501,53565,56167
1400000US24033802502,71190,63704
1400000US24033802600,53136,57284
1400000US24033802700,47833,58403
1400000US24033802803,54840,62095
1400000US24033802804,66769,62308
1400000US24033802805,59500,67667
1400000US24033802901,44984,47260
1400000US24033803001,69125,67000
1400000US24033803002,64145,65461
1400000US24033803100,61214,53800
1400000US24033803200,52000,52675
1400000US24033803300,63375,54989
1400000US24033803401,49375,50481
1400000US24033803402,55000,43657
1400000US24033803508,42764,83831
1400000US24033803509,44873,44516
1400000US24033803512,85567,94191
1400000US24033803513,73393,72244
1400000US24033803514,84792,79506
1400000US24033803516,106172,126509
1400000US24033803519,79100,91389
1400000US24033803520,106438,119479
1400000US24033803521,103357,124125
1400000US24033803522,103438,100317
1400000US24033803523,125104,128594
1400000US24033803524,81696,72218
1400000US24033803525,52721,60635
1400000US24033803526,77969,84350
1400000US24033803527,99914,86389
1400000US24033803601,95357,89286
1400000US24033803602,66288,61538
1400000US24033803605,78696,79110
1400000US24033803606,78750,72806
1400000US24033803607,107292,85714
1400000US24033803608,62025,74036
1400000US24033803610,50346,67167
1400000US24033803612,49783,60299
1400000US24033803613,52482,57645
1400000US24033803700,62143,70446
1400000US24033803801,67143,76500
1400000US24033803803,65970,65917
1400000US24033803900,69000,67083
1400000US24033804001,40663,35853
1400000US24033804002,55847,62215
1400000US24033804101,72083,70938
1400000US24033804102,53490,67773
1400000US24033804200,100000,117665
1400000US24033804300,40417,46773
1400000US24033804400,60034,59911
1400000US24033804600,46083,78798
1400000US24033804700,80147,74783
1400000US24033804801,40444,41455
1400000US24033804802,36838,53082
1400000US24033804900,52853,69190
1400000US24033805000,70407,53778
1400000US24033805101,49228,51250
1400000US24033805201,50318,51172
1400000US24033805202,53494,55824
1400000US24033805500,74310,49917
1400000US24033805601,39620,50271
1400000US24033805602,53276,72574
1400000US24033805700,54222,58421
1400000US24033805801,78295,103194
1400000US24033805802,65909,66473
1400000US24033805904,55603,74107
1400000US24033805906,48905,55781
1400000US24033805907,54090,60985
1400000US24033805908,49758,56469
1400000US24033805909,44978,64441
1400000US24033806000,53732,71576
1400000US24033806100,62792,76922
1400000US24033806200,76771,74821
1400000US24033806300,54732,78258
1400000US24033806400,134868,130893
1400000US24033806501,52520,58929
1400000US24033806601,54708,47939
1400000US24033806602,59282,70806
1400000US24510110100,40996,49411
1400000US24510110200,34141,42167
1400000US24510120100,59107,62266
1400000US24510120201,55034,73625
1400000US24510120202,25373,36552
1400000US24510120300,39472,49628
1400000US24510120400,38214,38194
1400000US24510120500,33906,52596
1400000US24510120600,16505,20164
1400000US24510120700,51250,57381
1400000US24510130100,21875,28095
1400000US24510130200,34789,46086
1400000US24510130300,35000,34118
1400000US24510130400,29040,27393
1400000US24510130600,58030,89363
1400000US24510130700,53796,57368
1400000US24510130803,56434,55398
1400000US24510130804,51667,65188
1400000US24510130805,50333,49545
1400000US24510130806,54297,84444
1400000US24510140100,34859,50750
1400000US24510140200,15265,24282
1400000US24510140300,19722,27337
1400000US24510150100,17270,20269
1400000US24510150200,25156,40313
1400000US24510150300,30377,38617
1400000US24510150400,35739,32868
1400000US24510150500,29500,34583
1400000US24510150600,22188,26782
1400000US24510150701,47019,45357
1400000US24510150702,44250,40529
1400000US24510150800,34530,35095
1400000US24510150900,40583,54410
1400000US24510151000,30589,39369
1400000US24510151100,41918,46389
1400000US24510151200,13635,20276
1400000US24510151300,30845,26538
1400000US24510160100,18028,25772
1400000US24510160200,35167,26331
1400000US24510160300,24447,21017
1400000US24510160400,31912,23417
