GEOID,insured12,uninsured12,total12,pct_ins12,insured17,uninsured17,total17,pct_ins17,pct_ins_chg,MHHI12,MHHI17
1400000US24003702701,4407,104,4511,0.9769452449567724,3981,149,4130,0.9639225181598063,-0.013022726796966033,83698,91496
1400000US24003702702,3493,79,3572,0.9778835386338186,3695,20,3715,0.9946164199192463,0.016732881285427714,133846,161406
1400000US24003706101,3459,193,3652,0.9471522453450164,3350,273,3623,0.9246480817002484,-0.022504163644768038,61702,86944
1400000US24003706301,3504,620,4124,0.8496605237633366,3977,256,4233,0.9395227970706355,0.0898622733072989,67727,71693
1400000US24003706302,3266,166,3432,0.9516317016317016,2884,212,3096,0.9315245478036176,-0.020107153828084035,86964,91875
1400000US24003706401,4693,1738,6431,0.729746540195926,5905,1841,7746,0.7623289439710819,0.032582403775155866,62165,69945
1400000US24003706402,2641,207,2848,0.9273174157303371,2648,379,3027,0.874793524942187,-0.05252389078815012,54583,71979
1400000US24003706500,4525,749,5274,0.8579825559347743,4804,410,5214,0.9213655542769467,0.06338299834217231,67700,88854
1400000US24003706600,4602,440,5042,0.9127330424434749,5037,323,5360,0.9397388059701492,0.027005763526674387,86827,106064
1400000US24003706700,792,3,795,0.9962264150943396,821,23,844,0.9727488151658767,-0.023477599928462878,118500,96944
1400000US24003707001,6310,274,6584,0.9583839611178615,5918,296,6214,0.9523656260057933,-0.006018335112068174,93834,92298
1400000US24003707002,4229,235,4464,0.9473566308243727,4797,69,4866,0.9858199753390875,0.03846334451471478,96071,95852
1400000US24003708001,3518,230,3748,0.9386339381003201,3623,115,3738,0.969234884965222,0.03060094686490189,93438,106875
1400000US24003708004,4954,616,5570,0.889407540394973,5725,253,5978,0.9576781532285045,0.06827061283353142,64504,66769
1400000US24003730100,5965,767,6732,0.8860665478312537,10394,307,10701,0.971311092421269,0.08524454459001529,86125,102700
1400000US24003730203,4099,691,4790,0.855741127348643,4902,636,5538,0.8851570964247021,0.029415969076059034,34325,46779
1400000US24003730204,5560,679,6239,0.8911684564834108,5793,191,5984,0.9680815508021391,0.07691309431872828,71308,65163
1400000US24003730300,2721,382,3103,0.8768933290364164,3048,422,3470,0.878386167146974,0.0014928381105576705,61122,86568
1400000US24003730401,3683,485,4168,0.883637236084453,4979,283,5262,0.9462181679969593,0.06258093191250635,67964,74868
1400000US24003730402,4965,1083,6048,0.8209325396825397,5550,638,6188,0.8968972204266322,0.07596468074409257,53443,58911
1400000US24003730502,5376,528,5904,0.9105691056910569,5532,346,5878,0.9411364409663151,0.030567335275258234,87804,82404
