GEOID,insured,uninsured,total
1400000US24005402505,2712,211,2923
1400000US24005402506,3748,418,4166
1400000US24005402509,8050,720,8770
1400000US24005402602,1800,231,2031
1400000US24005402603,6194,406,6600
1400000US24005402604,5403,327,5730
1400000US24005403100,2128,250,2378
1400000US24005403201,2408,302,2710
1400000US24005403202,1878,229,2107
1400000US24005403300,2058,143,2201
1400000US24005403401,2993,210,3203
1400000US24005403402,3479,973,4452
1400000US24005403500,4859,182,5041
1400000US24005403601,4482,327,4809
1400000US24005403602,5047,407,5454
1400000US24005403701,6258,273,6531
1400000US24005403702,4164,257,4421
1400000US24005403801,1684,40,1724
1400000US24005403802,2801,52,2853
1400000US24005403803,3216,69,3285
1400000US24005404101,4514,187,4701
1400000US24005404102,5319,509,5828
1400000US24005404201,5126,1168,6294
1400000US24005404202,6732,1196,7928
1400000US24005404402,6156,229,6385
1400000US24005404403,4376,653,5029
1400000US24005404404,4012,840,4852
1400000US24005404501,6206,1045,7251
1400000US24005404502,3472,296,3768
1400000US24005404600,2153,233,2386
1400000US24005404800,1856,100,1956
1400000US24005404900,4859,82,4941
1400000US24005405000,4082,288,4370
1400000US24005406000,5414,135,5549
1400000US24005407001,3191,97,3288
1400000US24005407002,5770,277,6047
1400000US24005408100,6017,151,6168
1400000US24005408200,1908,98,2006
1400000US24005408302,2927,30,2957
1400000US24005408303,3675,0,3675
1400000US24005408304,4562,98,4660
1400000US24005408400,603,34,637
1400000US24005408502,5062,301,5363
1400000US24005408503,2808,467,3275
1400000US24005408505,3754,112,3866
1400000US24005408506,3714,725,4439
1400000US24005408507,4675,809,5484
1400000US24005408601,3492,307,3799
1400000US24005408602,2023,75,2098
1400000US24005408702,2405,12,2417
1400000US24005408703,5677,180,5857
1400000US24005408704,5632,63,5695
1400000US24005408800,2216,69,2285
1400000US24005408900,2566,78,2644
1400000US24005410100,5616,223,5839
1400000US24005410200,4553,198,4751
1400000US24005411101,2075,208,2283
1400000US24005411102,2699,154,2853
1400000US24005411201,3169,105,3274
1400000US24005411202,3527,117,3644
1400000US24005411302,3025,366,3391
1400000US24005411303,5610,303,5913
1400000US24005411306,4656,462,5118
1400000US24005411307,3415,248,3663
